Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
DFIS,14637,0,0.00,0,0.00,26.65,14637,0
BUFD,14589,0,0.00,0,0.00,25.35,13889,700
JMUB,14386,0,0.00,0,0.00,50.02,14386,0
GMAR,13569,0,0.00,0,0.00,37.69,13569,0
YETH,13471,5,44.44,100,30.60,30.90,13471,0
BALT,13316,0,0.00,0,0.00,31.39,12516,800
VIXM,13296,1,17.60,3,14.70,14.84,13196,100
PTLC,12815,0,0.00,0,0.00,52.11,12815,0
FJAN,12770,0,0.00,0,0.00,45.24,12770,0
VTEC,12733,0,0.00,50,98.50,98.65,12733,0
AAPX,12303,40,24.80,1300,24.71,24.67,12303,0
XSHD,12253,1980,14.40,9,13.75,13.99,12133,120
IYJ,12142,0,0.00,0,0.00,133.08,12142,0
XDTE,11966,1000,47.08,1,46.95,47.01,11966,0
DIVB,11891,0,0.00,215,47.05,48.57,11891,0
BBIN,11885,0,0.00,0,0.00,63.24,11604,281
XAPR,11301,0,0.00,0,0.00,32.86,11301,0
ICOW,10797,0,0.00,0,0.00,32.35,10797,0
USMF,10660,0,0.00,0,0.00,50.27,10660,0
ETHV,10644,3500,30.22,7000,30.17,30.40,10644,0
SYLD,10618,0,0.00,0,0.00,65.02,10618,0
QMAR,10288,0,0.00,0,0.00,29.09,10288,0
HYDB,10163,0,0.00,1,45.00,47.42,9963,200
FLQM,10102,0,0.00,0,0.00,53.33,10102,0
HIMU,9879,0,0.00,0,0.00,49.63,8769,1110
ESML,9772,0,0.00,0,0.00,39.89,9772,0
BTCW,9592,2500,93.18,2400,92.27,93.36,9592,0
HYBL,9500,3,30.00,20,27.86,28.25,9500,0
REGL,9495,0,0.00,0,0.00,80.93,9495,0
BUFQ,9190,0,0.00,0,0.00,30.86,9190,0
MEAR,9110,0,0.00,0,0.00,50.16,9010,100
OUSM,9108,0,0.00,0,0.00,42.70,8508,600
IGEB,9051,0,0.00,0,0.00,44.86,9051,0
OMFL,8886,0,0.00,0,0.00,54.20,8663,223
SECT,8805,0,0.00,0,0.00,53.42,8805,0
FLBL,8771,0,0.00,21,23.90,24.03,8771,0
GVI,8771,0,0.00,0,0.00,105.57,8564,207
DDWM,8719,0,0.00,200,37.20,37.46,8719,0
DIHP,8444,0,0.00,0,0.00,27.52,8444,0
GHYG,8180,0,0.00,0,0.00,44.92,8180,0
DFEB,7993,0,0.00,0,0.00,42.69,7993,0
IEO,7940,5,106.66,0,0.00,94.59,7940,0
DDLS,7917,0,0.00,0,0.00,36.36,7917,0
XAUG,7908,0,0.00,0,0.00,34.49,7908,0
MSFX,7882,700,22.20,300,22.13,22.20,7882,0
CBTJ,7861,0,0.00,0,0.00,23.89,7861,0
BBUS,7778,0,0.00,0,0.00,104.05,7778,0
GOOX,7721,83,25.12,400,24.91,25.01,7721,0
EZBC,7699,4100,50.97,4100,50.51,51.28,7499,200
NULG,7593,0,0.00,100,77.80,82.45,7295,298
ARKX,7542,1,19.80,6,19.15,19.11,7360,182
SMOT,7486,0,0.00,0,0.00,33.68,7486,0
FMAR,7184,0,0.00,16,42.70,42.88,7184,0
MAMB,7174,0,0.00,0,0.00,22.81,7174,0
SHYM,7116,0,0.00,0,0.00,22.70,7116,0
BTCO,6982,2600,87.86,2600,87.01,87.39,6982,0
ISPY,6913,10,43.50,9,39.21,43.29,6913,0
XMAY,6900,0,0.00,0,0.00,31.95,6900,0
TMFC,6898,0,0.00,9,55.54,57.87,6898,0
XSEP,6870,0,0.00,0,0.00,39.13,6870,0
ARKQ,6800,25,73.32,10,72.11,72.97,6800,0
CEFS,6757,6,22.50,50,21.50,21.92,6565,192
VCRM,6755,4,78.25,0,0.00,74.37,6755,0
GDE,6711,0,0.00,8,40.85,41.08,6689,22
SMB,6616,0,0.00,0,0.00,17.14,6616,0
JPLD,6551,0,0.00,0,0.00,51.89,6551,0
DISV,6517,0,0.00,0,0.00,29.97,6517,0
SPBU,6504,0,0.00,0,0.00,24.80,6504,0
SATO,6482,0,0.00,0,0.00,15.80,6482,0
FNOV,6375,0,0.00,0,0.00,47.53,6375,0
NULV,6346,100,44.15,100,36.76,40.48,6346,0
DMAX,6295,0,0.00,0,0.00,25.12,6295,0
BUFZ,6267,0,0.00,0,0.00,23.87,6267,0
DMAR,6263,0,0.00,0,0.00,38.12,6263,0
EMGF,6263,0,0.00,0,0.00,47.73,6263,0
XIDE,6234,0,0.00,0,0.00,30.11,6234,0
